STCOFIPS,TOT_POP,MALE_POP,FEMALE_POP,UNDER_5_POP,5_9_POP,10_14_POP,15_19_POP,20_24_POP,25_34_POP,35_44_POP,45_54_POP,55_59_POP,60_64_POP,65_74_POP,75_84_POP,85_PLUS_POP,MEDIAN_AGE,WHITE_POP,BLACK_POP,NATIVE_POP,ASIAN_POP,OTHER_RACE_POP,HISPANIC_LATINO_POP,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,OWNER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_UNITS
48189,32525,16851,15674,2019,2434,2734,2791,2659,4185,4018,3661,1722,1789,2561,1334,618,33.4,22133,1318,236,204,3324,32525,13396,10997,6789,4208
48191,2847,1371,1476,124,210,162,223,150,283,267,365,230,192,366,209,66,45.1,1948,186,11,12,226,2847,1754,1145,802,343
48193,8244,4103,4141,419,388,617,720,288,771,923,791,684,520,1088,617,418,45,7232,78,19,3,132,8244,4352,3131,2608,523
48195,5270,2780,2490,382,429,402,521,260,705,515,627,295,416,385,174,159,33.9,4131,11,25,6,163,5270,2283,1763,1329,434
48197,3541,1837,1704,182,163,242,283,198,319,485,477,197,286,496,155,58,44.1,2852,116,23,43,125,3541,1819,1304,883,421
48199,56576,27727,28849,3424,4391,3678,3671,3093,6974,7420,6835,3869,3470,5900,3003,848,39.4,49234,3491,95,261,709,56576,24308,20845,17208,3637
48201,4726177,2359415,2366762,332825,340090,357981,336277,326323,735469,682891,587864,261991,242815,328880,141685,51086,34.1,2175176,893393,33169,333946,567532,4726177,1851489,1692896,924703,768193
48203,69098,33790,35308,3983,4784,4940,5181,4657,8274,8842,7635,4318,4755,7204,3218,1307,38.8,46326,14215,281,421,2427,69098,29305,24993,18494,6499
48205,5369,3055,2314,292,349,447,110,109,849,1132,629,335,247,431,391,48,39.7,4021,396,46,14,194,5369,1866,1626,1296,330
48207,5408,2878,2530,212,196,349,544,144,620,721,624,397,335,772,357,137,44.3,4345,323,11,4,337,5408,3101,2090,1462,628
48209,245351,122589,122762,14465,16403,15385,20275,29008,33881,35466,27572,11566,13273,18475,7139,2443,33.2,173667,9511,1727,4151,11718,245351,94988,89328,56117,33211
48211,3371,1911,1460,165,202,301,245,196,283,463,463,255,163,376,122,137,40.8,2648,60,16,0,339,3371,1679,1345,987,358
48213,82627,40851,41776,4534,4457,5466,4991,4730,9144,8918,9823,5596,6585,10619,5784,1980,43.9,68511,4611,303,551,1352,82627,40933,31973,24300,7673
48215,873167,431639,441528,71410,73319,84381,77878,69781,118137,108429,98190,37941,35835,55081,32286,10499,29.8,445353,5389,2515,8281,94074,873167,296286,257499,174713,82786
48217,36138,18161,17977,2057,2141,2630,2430,2060,3951,4100,4284,2532,2550,4345,2375,683,41.2,28841,2269,237,282,2494,36138,16236,13390,10088,3302
48219,21495,10775,10720,1507,1318,1864,1735,1433,2804,2723,2304,1360,1215,1913,823,496,35.3,15029,627,116,86,1629,21495,9184,7922,5765,2157
48221,62459,30357,32102,3215,3043,4275,3541,2981,6452,6729,7072,4979,4411,9133,4846,1782,46.5,55583,642,310,542,849,62459,28396,24734,19879,4855
48223,37008,18359,18649,2264,2616,2499,2464,2216,4523,4162,4639,2466,2378,4012,2094,675,39.7,30096,2709,169,281,1604,37008,15698,13781,9655,4126
48225,22107,12021,10086,1073,1218,1307,1255,936,2627,2883,2855,1720,1343,2632,1679,579,43.9,14500,5368,185,76,645,22107,10840,7464,5180,2284
48227,34488,19633,14855,2022,2128,2141,2407,1961,5255,5187,5085,1996,1924,2594,1278,510,37.6,25493,2024,247,408,2589,34488,13974,12010,8017,3993
48229,3329,2027,1302,125,127,158,287,390,781,442,416,81,155,228,99,40,32.1,1235,24,20,34,507,3329,1143,890,608,282
48231,101596,50144,51452,6305,6576,7213,7347,7061,13061,11924,12741,6097,7129,9627,4621,1894,37.6,77750,7953,724,1192,6220,101596,41050,36560,25573,10987
48233,20595,10552,10043,1216,1391,1591,1738,1132,2492,2677,2195,1459,1170,2146,829,559,38.3,16033,481,308,133,995,20595,10190,6711,5497,1214
48235,1561,748,813,46,108,211,69,0,223,181,165,144,111,209,30,64,39.5,1143,0,0,0,368,1561,827,647,571,76
48237,8588,4774,3814,436,452,687,590,582,1157,1085,1048,519,544,841,550,97,39.2,7666,339,0,60,147,8588,3816,2997,2183,814
48239,15010,7470,7540,991,822,1295,1144,699,1484,1983,1823,802,1074,1568,1028,297,40.4,11532,886,25,91,984,15010,7003,5235,3875,1360
48241,33032,16240,16792,1945,1927,2482,2177,1696,3513,3649,4192,2601,2079,3998,1998,775,42.3,24750,5034,66,130,1097,33032,16417,13142,10466,2676
48243,1992,1106,886,134,0,107,50,67,112,184,162,151,194,495,297,39,62,1648,26,0,0,49,1992,1810,1095,978,117
48245,254942,131138,123804,17120,17339,17617,16056,16809,36331,33819,29971,15804,16068,22326,10963,4719,36.8,121024,84879,862,9712,11928,254942,108761,93193,57492,35701
48247,4830,2515,2315,749,350,245,436,611,664,416,483,153,315,283,92,33,25.2,2967,26,0,53,170,4830,2094,1342,855,487
48249,39060,19461,19599,2663,3015,3095,2822,2601,4916,5073,4223,2126,2350,3596,1838,742,35.6,31976,287,223,167,1453,39060,16186,12914,8774,4140
48251,182690,92223,90467,11519,13067,13788,13281,11674,23241,25119,23004,12988,9477,15589,8053,1890,37.1,148833,8234,691,1950,7354,182690,66715,62297,46360,15937
48253,19758,12581,7177,771,670,1179,885,1600,3580,3179,2558,1359,885,1822,799,471,38.4,13649,2159,99,70,1457,19758,7052,5917,4862,1055
48255,14805,8705,6100,771,960,780,809,1138,2682,2294,1575,832,828,1176,674,286,35.6,9706,965,64,161,824,14805,5842,4359,2943,1416
48257,149773,74364,75409,10689,12065,12045,11237,8900,20800,22162,18560,8142,8385,10651,4461,1676,34.6,98892,22755,555,2277,6612,149773,51145,47899,37065,10834
48259,45376,22351,23025,2036,2814,3348,3203,2397,4287,5987,6065,3401,2941,5068,2680,1149,42.6,36565,353,221,516,2661,45376,18342,16763,12803,3960
48261,116,69,47,28,0,0,1,0,22,12,4,4,3,36,0,6,39.9,75,0,1,1,0,116,93,38,6,32
48263,635,323,312,20,60,57,37,9,25,69,25,16,80,111,101,25,59.9,551,6,0,0,29,635,475,246,199,47
48265,52810,25725,27085,2573,2410,3103,3204,3038,5513,5065,5654,3169,4321,7886,4727,2147,48.2,41252,872,178,423,3848,52810,25246,22024,15571,6453
48267,4316,2161,2155,238,181,241,347,132,392,499,474,233,370,711,396,102,48.4,3525,75,7,0,162,4316,2694,1715,1359,356
48269,216,113,103,14,12,20,10,0,35,37,19,12,29,26,2,0,35.8,184,0,0,0,3,216,144,80,32,48
48271,3157,1947,1210,135,55,78,158,195,648,203,404,334,188,358,351,50,47.5,2661,0,36,0,0,3157,1473,1105,829,276
48273,30860,15582,15278,2175,1550,2588,2887,4443,4213,3479,2826,1414,1233,2276,1248,528,28.6,18374,937,203,407,1459,30860,13921,11915,6443,5472
48275,3333,1629,1704,157,304,203,227,132,333,484,388,215,269,338,189,94,41.1,2442,199,3,62,156,3333,1815,1248,974,274
48277,50149,24449,25700,3215,3380,3346,3241,2776,6336,5522,6223,3208,3218,5632,2929,1123,40.3,38958,6380,423,443,793,50149,22688,20122,13423,6699
48279,13024,6523,6501,895,1114,943,1072,775,1427,1557,1426,854,736,1164,705,356,36.8,10188,453,60,68,374,13024,5899,4632,3375,1257
48281,21829,11019,10810,1066,1107,1631,1531,1047,2040,2854,2729,1468,1880,2680,1334,462,43.8,17429,968,134,235,627,21829,9721,7934,6388,1546
48283,6965,4303,2662,212,353,576,890,451,1005,1058,684,234,297,468,601,136,35,3627,232,0,6,861,6965,2333,1688,1335,353
48285,20379,10068,10311,1175,1313,1476,1365,993,2039,2311,2164,1327,1379,2635,1443,759,43.4,15746,1071,49,100,2021,20379,10468,8206,6261,1945
48287,17543,8665,8878,1098,1009,1035,1067,947,1795,2342,2108,1403,1142,2167,1110,320,41.9,13507,1847,280,67,327,17543,7886,6313,4930,1383
48289,15928,7918,8010,833,766,1212,1116,782,1519,1802,1671,873,1594,2208,1110,442,44.7,13215,1199,44,21,839,15928,8987,6397,5010,1387
48291,93523,46504,47019,6849,7006,7954,6687,6232,13379,11805,11263,5464,5119,7375,3493,897,34.1,63934,7939,373,415,10566,93523,33616,28921,23359,5562
48293,22222,11315,10907,1297,1402,1429,1342,1228,2721,2416,2740,1438,1633,2720,1404,452,42,14335,3780,89,233,322,22222,10420,8195,6129,2066
48295,3038,1386,1652,215,215,287,222,227,328,377,279,208,173,286,176,45,35.9,2196,12,28,14,410,3038,1507,1135,885,250
48297,11374,6118,5256,637,642,641,603,578,1938,1104,1236,739,838,1295,878,245,40.8,9478,279,18,263,230,11374,5957,4153,3108,1045
48299,21637,10332,11305,757,824,1293,802,878,1728,1598,2206,1337,2184,4497,2617,916,57.4,19493,133,85,103,591,21637,15388,9612,7579,2033
48301,96,51,45,23,5,0,0,5,16,0,0,0,13,15,3,16,31.9,91,0,0,5,0,96,55,40,12,28
48303,311509,154200,157309,19691,20647,20848,26580,38768,44690,38336,30818,14490,17049,23483,11424,4685,31.2,216279,22261,2012,7498,21827,311509,133802,121685,67644,54041
48305,5619,2912,2707,368,479,417,395,292,699,795,587,335,367,485,241,159,36.6,4032,84,44,9,323,5619,2535,2053,1485,568
48307,7638,3917,3721,413,550,494,297,499,771,837,956,516,578,1022,500,205,44.4,5837,65,39,31,386,7638,4233,3186,2229,957
48309,261090,128169,132921,16934,16482,18834,22490,27315,33605,30668,27406,14334,14415,22224,11661,4722,33.6,177338,36801,1282,4066,8415,261090,106122,94985,56585,38400
48311,670,296,374,50,86,67,13,22,88,82,69,43,22,88,18,22,36.5,524,0,6,0,23,670,369,202,174,28
48313,13556,7679,5877,806,849,804,820,982,2260,2195,1393,623,757,1217,654,196,36.2,9008,2173,19,175,857,13556,5084,4081,2911,1170
48315,9668,4724,4944,342,581,492,543,477,707,1112,980,828,985,1588,817,216,52.1,6901,2117,71,58,151,9668,5602,4014,3115,899
48317,5228,2833,2395,333,334,620,337,585,432,669,620,316,432,320,188,42,34.7,4025,67,0,15,572,5228,2173,1912,1163,749
48319,3959,1977,1982,340,286,134,247,183,326,407,272,241,288,745,364,126,48.2,3430,3,0,28,337,3959,2374,1519,1216,303
48321,36251,18259,17992,2666,2391,2914,2394,2098,4536,4352,3802,2027,2754,3751,1852,714,37.1,20954,3574,60,628,6637,36251,18674,14073,9766,4307
48323,57806,28883,28923,5083,5057,4780,5030,4669,7889,6506,6778,2366,2817,3988,2227,616,30.1,30045,84,1244,168,5311,57806,20063,17901,12199,5702
48325,51432,26705,24727,2890,3166,3490,3732,3415,6263,6114,6593,3589,3450,5234,2282,1214,39.4,35904,1285,301,482,3398,51432,19596,17296,14194,3102
48327,1964,986,978,76,59,140,154,10,166,111,191,118,242,287,334,76,59.4,1608,1,23,0,80,1964,1464,905,683,222
48329,169393,86602,82791,14300,14384,13045,11438,10762,28946,25133,17240,8456,8285,10381,4529,2494,32.1,111121,11578,959,3311,18424,169393,70203,65265,43733,21532
48331,25080,12359,12721,1398,1491,1907,1639,1561,2552,2819,3045,1678,1791,3076,1595,528,41.5,18807,2687,47,89,1307,25080,11564,9767,7448,2319
48333,4501,2279,2222,96,203,328,370,109,328,429,741,266,365,643,419,204,50.8,3649,30,4,13,170,4501,2653,1833,1561,272
48335,8947,5054,3893,557,551,264,527,1589,1397,881,1032,504,367,715,385,178,32.3,6017,722,96,10,658,8947,3706,2411,1710,701
48337,20197,9818,10379,1052,1172,1602,1096,1076,2143,2205,2534,1454,1500,2446,1475,442,44.1,18501,159,93,0,590,20197,10281,7907,6301,1606
48339,629989,314216,315773,40265,44748,49155,44872,38474,79292,88122,83924,37766,38805,53107,22996,8463,37.4,474627,35254,2294,20776,23823,629989,242656,224474,163258,61216
48341,21284,11073,10211,1918,1992,1782,1466,1579,2964,2698,2289,1204,998,1482,593,319,30.7,13861,901,134,834,1646,21284,8184,6989,4537,2452
48343,11993,5675,6318,551,780,902,730,893,884,1615,1378,846,814,1490,791,319,43,8167,2698,43,117,603,11993,5815,4879,3587,1292
48345,1223,639,584,76,51,50,58,67,149,94,100,123,72,223,131,29,50.7,1013,25,0,0,42,1223,718,460,349,111
48347,64768,31302,33466,3937,3909,4695,6678,7834,7547,6906,6267,3488,3624,5938,3016,929,31.7,43899,11410,304,636,2334,64768,28903,24893,14708,10185
48349,52834,26564,26270,3447,3945,3720,3837,3910,5984,6332,6121,3606,3137,5312,2494,989,37.5,33993,6128,108,338,5613,52834,21429,18058,12257,5801
48351,12333,6175,6158,577,812,807,861,541,1225,1234,1629,927,983,1510,879,348,45.5,9277,2272,22,85,55,12333,6457,4787,3858,929
48353,14657,7429,7228,1021,874,1240,1142,850,1730,1584,1636,977,792,1670,676,465,36.6,10973,702,97,27,1112,14657,7118,5670,3711,1959
48355,353245,176105,177140,22150,24694,23369,25713,25585,49327,46734,40965,21782,19894,31529,15086,6417,36.2,224557,13086,980,7750,15965,353245,151836,130122,77275,52847
48357,9924,4994,4930,756,836,856,654,744,1439,1393,904,767,514,601,305,155,33,7261,82,103,45,1344,9924,4327,3684,2597,1087
48359,2171,1284,887,126,117,147,403,76,217,375,239,72,125,158,64,52,35,1763,147,7,18,35,2171,791,631,452,179
48361,84761,42264,42497,5539,6105,5819,5513,5106,11017,11264,9962,5497,5627,7919,3830,1563,37.7,69767,7423,148,539,1092,84761,37422,31274,23503,7771
48363,28569,14050,14519,1690,1771,2111,1752,1774,3263,3123,3322,2028,2090,3422,1579,644,41.3,24211,746,234,285,1052,28569,15138,10640,7667,2973
48365,22540,11276,11264,1291,1416,1533,1681,1327,2642,2424,2669,1180,1813,2727,1357,480,39.2,17138,2829,14,160,246,22540,10784,8062,6493,1569
48367,151188,75827,75361,9049,10175,11445,10129,8342,17487,20594,19582,10150,10490,14849,6996,1900,39.4,132194,2113,783,1280,2752,151188,57477,52622,43127,9495
48369,9809,5140,4669,726,798,688,754,610,1226,1392,944,418,749,928,474,102,36.3,7161,67,76,18,542,9809,3755,3203,2280,923
48371,15114,8469,6645,1013,1112,1003,788,912,2356,2223,1895,1041,723,1322,575,151,36.7,10102,686,23,191,1565,15114,5818,5070,3580,1490
