STCOFIPS,TOT_POP,MALE_POP,FEMALE_POP,UNDER_5_POP,5_9_POP,10_14_POP,15_19_POP,20_24_POP,25_34_POP,35_44_POP,45_54_POP,55_59_POP,60_64_POP,65_74_POP,75_84_POP,85_PLUS_POP,MEDIAN_AGE,WHITE_POP,BLACK_POP,NATIVE_POP,ASIAN_POP,OTHER_RACE_POP,HISPANIC_LATINO_POP,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,OWNER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_UNITS
01001,58761,28663,30098,3370,3314,4376,3924,3589,7416,7933,7881,4280,3502,5301,2973,902,39,43747,11496,59,658,321,58761,24457,22308,16832,5476
01003,233420,114077,119343,12104,12165,16137,14320,11672,25738,28170,29977,15824,17814,29682,15151,4666,43.7,195998,19445,848,2046,4414,233420,125113,90802,70708,20094
01005,24877,12973,11904,1299,1616,1338,1455,1494,3368,3101,3056,1558,1666,2870,1582,474,40.6,11309,11668,74,126,1088,24877,11673,9016,5858,3158
01007,22251,11897,10354,1157,1438,1302,1308,1121,3297,3022,2942,1460,1470,2205,1199,330,40.3,16872,4603,21,69,108,22251,9046,7216,5465,1751
01009,59077,29864,29213,3410,3525,4135,3705,3485,7014,7131,7741,4135,4005,6295,3486,1010,40.8,53941,729,227,100,1859,59077,24677,21626,17144,4482
01011,10328,5542,4786,562,602,751,892,365,1383,1263,1425,637,734,1049,418,247,39.2,2397,7117,0,43,568,10328,4541,3450,2231,1219
01013,18981,8928,10053,1054,1080,1363,1060,1158,2122,2394,2170,1188,1371,2296,1305,420,41.6,9777,8462,69,243,57,18981,9835,7131,5047,2084
01015,116162,56185,59977,6503,6467,7156,8811,8294,14795,13837,13965,7742,7798,12550,6772,1472,39.2,83306,25631,258,765,2223,116162,53167,44693,31694,12999
01017,34612,16485,18127,2086,1611,2296,1784,2129,4333,3928,4538,2836,2241,3992,2239,599,42.2,19642,14114,21,60,240,34612,16427,13143,9486,3657
01019,25069,12261,12808,1151,1082,1634,1339,1340,2609,2702,3364,1956,2065,3478,1751,598,46.8,22884,1008,120,27,206,25069,14687,9997,7972,2025
01021,45140,22048,23092,2709,3349,2834,2754,2885,5622,5610,5749,2987,3036,4514,2424,667,39.9,36693,4257,647,229,1512,45140,19546,16931,12700,4231
01023,12669,5980,6689,686,585,778,922,646,1222,1246,1591,1051,992,1655,842,453,46.7,7180,5062,28,15,85,12669,7138,5228,4286,942
01025,23058,11032,12026,1421,1188,1554,1472,1408,2564,2602,2874,1661,1614,2565,1514,621,42.7,11862,10490,15,90,194,23058,11733,8188,5916,2272
01027,14209,6931,7278,745,819,823,1014,755,1528,1514,1947,1057,1048,1660,991,308,43.9,11581,1790,5,36,128,14209,7040,5485,4297,1188
01029,15144,7565,7579,901,1054,923,849,787,1948,1630,1985,1006,1087,1739,843,392,42.2,14028,411,35,15,263,15144,6818,5761,4496,1265
01031,53559,26626,26933,3168,3304,3956,3454,3121,6730,6980,7082,2986,3613,5447,2817,901,39.2,38834,8997,368,563,1083,53559,24155,20363,14145,6218
01033,57270,27911,29359,3158,3126,3714,3265,3172,7082,6793,7388,3893,4226,6636,3763,1054,42,44698,9185,178,214,1395,57270,27709,23266,16520,6746
01035,11576,5639,5937,465,706,778,750,495,1453,1071,1386,705,1053,1525,985,204,46.2,5751,5611,33,36,24,11576,6451,4453,3326,1127
01037,10329,5306,5023,464,290,580,571,375,1015,1126,1469,938,978,1479,769,275,50.2,6859,3120,9,0,75,10329,6045,3999,3249,750
01039,37542,18243,19299,2147,2072,2552,2381,1943,4199,4116,4578,2607,2782,4491,2518,1156,42.9,31404,4606,117,218,293,37542,18644,14194,10642,3552
01041,13205,6451,6754,708,856,933,755,805,1556,1453,1653,800,1075,1594,708,309,42.3,9386,3059,10,154,142,13205,6553,4839,3609,1230
01043,88284,43820,44464,5173,5498,5487,5607,4999,10819,10537,11507,6156,5919,9708,5472,1402,41.4,81077,960,355,278,1460,88284,39182,33649,25640,8009
01045,49455,24461,24994,3243,3270,3026,2913,3316,6926,5956,5765,3274,3108,5192,2688,778,37.7,34817,10416,476,611,1176,49455,22829,19400,11669,7731
01047,38326,17895,20431,2284,2422,2642,2677,2317,4320,4221,4454,2633,2916,4477,2238,725,40.4,10634,26467,208,240,16,38326,18992,14753,9060,5693
01049,71680,35847,35833,4110,4146,5733,4887,4419,8427,8963,9158,4387,5076,7531,3590,1253,39.6,59102,1043,1098,72,6443,71680,30716,25690,18974,6716
01051,87694,42743,44951,4785,5050,5655,5890,5268,12341,11408,11702,6078,5684,8419,4441,973,38.9,64769,18276,248,602,677,87694,36787,32184,24812,7372
01053,36755,18476,18279,2119,2209,2582,2555,1829,4772,4551,4494,2361,2453,3877,2203,750,40.5,22762,11138,1124,90,227,36755,16715,13022,8744,4278
01055,103348,50134,53214,5943,5914,6380,6069,6327,12195,12441,13972,7009,7016,12145,6114,1823,41.9,80555,15724,329,748,2404,103348,47412,38791,28454,10337
01057,16297,7997,8300,846,888,1048,1106,981,1756,1771,2062,1130,1248,2023,1112,326,43.7,13727,2074,24,36,28,16297,7816,6143,4659,1484
01059,32011,16071,15940,2318,1928,2352,2257,1805,4038,3654,4103,2178,1919,3117,1579,763,39.3,24853,1360,134,35,4210,32011,13940,11239,8231,3008
01061,26647,13037,13610,1432,1944,1434,1563,1292,3084,3098,3505,1945,1936,3160,1641,613,43.6,22360,2472,71,143,636,26647,12494,10391,7870,2521
01063,7706,3707,3999,544,574,317,410,412,976,801,760,539,549,1001,641,182,41.1,1333,6305,7,0,12,7706,4271,2872,2112,760
01065,14742,7020,7722,968,1390,646,816,942,1890,1507,1572,1055,1053,1772,751,380,40.5,5663,8373,42,9,11,14742,7464,5403,4187,1216
01067,17282,8303,8979,829,994,1105,928,865,1897,2106,2175,1235,1195,2403,1151,399,44.6,12194,4375,60,96,74,17282,9110,6686,5454,1232
01069,107040,51565,55475,6580,6286,7279,6680,6222,13560,13371,13374,6923,7315,11454,5963,2033,40.4,71260,29166,309,987,967,107040,49339,41543,27196,14347
01071,52618,25883,26735,2613,2990,3288,3021,2883,6005,6489,6948,3637,3927,6471,3504,842,43,47208,1731,397,213,948,52618,24706,20670,15733,4937
01073,672265,319713,352552,41464,42604,42968,44042,43877,95684,86330,80188,40932,44425,66373,30313,13065,37.9,338374,287203,1225,11712,13328,672265,308428,265794,170356,95438
01075,13885,6930,6955,946,673,902,761,709,1548,1582,1747,932,1010,1717,967,391,44.2,11913,1527,49,23,94,13885,7104,5168,3858,1310
01077,94329,45493,48836,4677,4909,5433,6519,8227,11175,10475,11311,6516,6110,10916,6048,2013,40.8,79592,9317,315,576,697,94329,44705,38237,25815,12422
01079,33116,16299,16817,1748,1869,2374,1812,1835,4087,3726,4536,2641,2339,3637,1838,674,42.7,25421,3371,1669,97,464,33116,15270,12829,10191,2638
01081,175126,86692,88434,9618,9141,11488,15832,21963,23917,21449,20326,9758,9474,13861,5912,2387,33,120255,39363,270,7614,1894,175126,75473,65166,42517,22649
01083,104199,52385,51814,5694,6287,6815,6483,5853,13600,14679,14413,7188,7164,9659,4930,1434,40.2,80040,13714,880,1917,2571,104199,42616,38572,29968,8604
01085,10153,4842,5311,588,603,638,707,582,1208,1150,1157,837,716,1120,594,253,41.7,2493,7603,0,0,0,10153,4823,4001,3100,901
01087,19198,8865,10333,895,731,989,2390,2313,2043,1443,2013,1244,1254,2354,1147,382,37.8,3133,15142,7,78,49,19198,9662,7131,4489,2642
01089,389781,191913,197868,22089,23109,23901,26393,26984,54503,48924,49076,28005,26891,35046,18693,6167,38.5,254819,95400,2008,9675,6988,389781,171313,159569,108545,51024
01091,19180,9100,10080,1237,1007,1369,1372,1198,1858,2250,2351,1410,1310,2206,1034,578,41.7,8705,9750,64,151,141,19180,9834,7379,5038,2341
01093,29203,14510,14693,1435,1578,1889,1884,1632,3296,3148,4098,2670,1459,3363,2122,629,44,26673,1113,93,85,470,29203,14143,11018,8031,2987
01095,97923,48686,49237,6896,5969,7527,6789,5747,11798,11628,12120,6410,6156,9978,5263,1642,38.8,83991,2746,877,600,4197,97923,41328,35930,27083,8847
01097,413878,198642,215236,26468,25576,27797,26921,27248,57179,50390,49004,26880,27359,41545,20758,6753,38.2,234657,150071,1625,8383,5107,413878,184845,159605,101334,58271
01099,19816,9758,10058,618,1272,1492,1344,1383,1769,2330,2517,1305,1625,2408,1394,359,43.7,10645,8384,260,47,31,19816,10214,7298,5285,2013
01101,228132,107680,120452,15285,14848,14845,15404,16308,32020,28626,26720,15112,13329,21527,9882,4226,36.9,74723,134763,333,7604,3126,228132,105488,89721,51349,38372
01103,123102,60953,62149,7366,7662,8098,7661,7441,14698,15395,15809,8304,8609,12918,6639,2502,40.6,94056,16631,471,605,5058,123102,53324,48004,34922,13082
01105,8479,3912,4567,517,438,542,1170,498,620,891,959,535,572,854,630,253,41.8,2411,6004,1,7,8,8479,3985,3075,2157,918
01107,18925,9149,9776,944,972,1092,1124,1201,2335,2383,2476,1143,1583,2128,1100,444,42.9,10880,7506,33,10,134,18925,8714,7083,5253,1830
01109,32997,15843,17154,1674,1875,1644,3534,5065,3870,3249,3334,1631,2064,2892,1562,603,31.1,18678,12302,112,664,133,32997,16049,11996,7561,4435
01111,22179,10787,11392,1232,1302,1303,1408,1320,2494,2375,2849,1467,1796,2702,1507,424,44.1,17068,4203,25,62,182,22179,12412,8729,6917,1812
01113,58849,28125,30724,3971,3842,4107,3738,3323,8495,7519,7362,3950,3773,5407,2657,705,37.2,27622,26410,107,459,1199,58849,27382,23462,14351,9111
01115,91719,45680,46039,4981,5357,6488,5524,4846,11701,12238,12224,6749,5656,9717,5155,1083,41,78169,8985,310,373,1215,91719,38133,33838,27658,6180
01117,223916,109226,114690,11946,14061,15371,15675,13218,26992,30516,31185,14935,13836,22134,10993,3054,40,174752,29118,533,4491,6362,223916,89612,83776,67810,15966
01119,12196,5586,6610,655,559,757,1212,1659,1099,1254,1157,876,699,1329,762,178,35.8,3109,8813,10,57,16,12196,6329,4798,3324,1474
01121,81105,39386,41719,4323,5020,4375,4939,5042,10370,9747,10658,4816,6749,9180,4785,1101,42.1,51186,25893,124,350,979,81105,38088,32359,23275,9084
01123,41251,20025,21226,2228,2522,2256,2487,2201,4606,4252,5239,3271,3008,5503,2798,880,45.2,28516,10957,26,190,388,41251,22777,16438,12409,4029
01125,231558,111807,119751,12874,12819,13707,23139,27060,32704,27453,25027,11931,13277,19696,8931,2940,32.8,143889,74222,393,3817,2009,231558,101330,84743,52792,31951
01127,64978,32122,32856,3691,4267,3920,3847,3972,7868,7321,8238,4634,4457,7491,3860,1412,41.8,57555,3890,100,123,1126,64978,30127,24718,19152,5566
01129,15434,7664,7770,843,895,781,996,1419,1392,1599,1928,1361,1169,1925,993,133,43.7,10298,3608,1042,62,20,15434,7779,5506,4868,638
01131,10441,4892,5549,658,506,789,873,546,1199,1079,1216,800,606,1289,636,244,41.1,2876,7328,13,4,0,10441,5314,3579,2844,735
01133,23655,11764,11891,1240,1179,1466,1393,1379,2538,2509,3154,1957,1704,2952,1804,380,45.4,22050,263,123,105,371,23655,13091,9103,7122,1981
02013,3407,2102,1305,108,88,124,142,270,515,633,593,301,237,270,96,30,41.6,576,183,1263,676,277,3407,1089,899,529,370
02016,5219,3484,1735,220,281,204,334,319,885,831,1150,414,252,283,40,6,39.2,1356,201,487,2123,285,5219,1403,969,268,701
02020,290674,149144,141530,19434,20387,18419,18328,21652,48906,40272,34222,17449,16837,22832,9338,2598,34.5,172004,15469,21507,28440,7728,290674,118938,107134,68356,38778
02050,18538,9909,8629,1970,1925,1586,1576,1372,2814,2020,1878,1027,935,1004,338,93,28.7,1678,215,15452,262,89,18538,6003,4565,2693,1872
02060,854,489,365,66,38,29,40,45,196,97,76,67,92,63,39,6,36.4,387,3,269,48,22,854,875,284,144,140
02063,7000,3717,3283,412,356,552,408,343,1139,966,753,421,725,687,191,47,37.8,5015,113,371,489,344,7000,3760,2755,1725,1030
02066,2614,1388,1226,188,152,230,155,98,231,298,366,244,203,303,131,15,43.1,1385,1,886,12,37,2614,2564,1090,750,340
02068,2101,1417,684,64,50,94,106,113,228,603,301,194,52,221,65,10,44.4,1591,48,64,73,45,2101,1385,525,456,69
02070,4854,2492,2362,419,427,405,350,351,763,515,456,288,312,410,118,40,30.7,775,76,3451,78,2,4854,2417,1384,841,543
02090,96299,52279,44020,6875,6834,5846,6155,9239,17133,12618,10157,5148,4961,7706,2923,704,32.1,68726,3979,6733,3032,1672,96299,42772,35824,21494,14330
02100,2079,1079,1000,77,149,233,172,28,110,250,299,122,190,314,123,12,46.2,1682,0,129,68,2,2079,1410,786,548,238
02105,2329,1300,1029,75,79,113,86,138,327,163,370,233,186,397,138,24,50,1238,9,672,19,0,2329,1708,867,646,221
02110,32108,16461,15647,1679,1987,1868,1879,1748,4960,4617,4142,2121,2363,3345,1131,268,39,20543,345,3018,2317,620,32108,14073,13017,8365,4652
02122,59235,31086,28149,3365,3564,3877,3633,3151,7384,7312,7091,4080,4773,7406,2718,881,41.2,47151,424,4389,1021,1006,59235,32567,23201,17808,5393
02130,13910,7232,6678,755,908,769,815,794,1925,1864,1704,1049,1008,1558,608,153,40.6,8909,91,2030,1180,217,13910,6615,5568,3656,1912
02150,13065,6991,6074,820,1149,789,757,916,2073,2065,1177,768,944,1081,338,188,35.1,6612,120,1492,2964,89,13065,5798,4415,2500,1915
02158,8372,4576,3796,1086,951,934,747,602,1233,819,736,384,368,376,118,18,23.7,265,70,7606,14,64,8372,2335,1864,1322,542
02164,999,508,491,82,69,76,72,49,195,164,60,71,69,65,17,10,33.6,171,22,617,35,0,999,1380,326,219,107
02170,108661,56811,51850,7022,8027,8394,7503,6346,15197,15159,13049,7096,6866,9648,3411,943,36.3,86055,1392,6743,1956,1449,108661,50491,39290,30043,9247
02180,10018,5237,4781,901,945,1047,794,767,1467,1229,1058,620,440,520,194,36,29.1,1423,103,7617,130,24,10018,4116,2786,1745,1041
02185,10924,6766,4158,608,705,736,652,622,1945,1509,1652,992,673,635,157,38,36.3,3474,193,5480,632,134,10924,2625,2168,1012,1156
02188,7682,4105,3577,801,782,807,596,466,1244,830,744,349,456,388,176,43,29.2,818,95,6200,99,18,7682,2726,1776,1083,693
02195,3374,1655,1719,148,161,178,178,172,352,302,324,444,273,510,289,43,50.1,1948,39,268,602,120,3374,1792,1254,920,334
02198,5799,3223,2576,286,357,381,353,271,696,643,731,505,456,796,258,66,43.1,2613,22,2230,80,29,5799,3252,2334,1695,639
02220,8462,4420,4042,398,469,534,505,485,1222,1196,1015,542,721,814,436,125,39.5,5269,58,793,667,90,8462,4138,3459,2231,1228
02230,1303,537,766,79,58,46,59,91,254,192,196,34,114,131,39,10,38.6,1017,40,64,29,0,1303,631,410,269,141
02240,6888,3912,2976,483,516,568,433,354,863,897,889,450,459,651,214,111,36.9,5163,61,881,214,181,6888,3537,2189,1642,547
02275,2134,1136,998,137,126,125,114,73,249,163,255,146,170,299,222,55,48.9,1216,1,488,18,21,2134,1350,928,605,323
02282,564,352,212,43,23,19,34,48,69,63,59,29,38,93,37,9,41.3,173,12,147,114,8,564,420,231,129,102
02290,5355,2841,2514,390,467,393,330,324,702,642,524,352,362,609,189,71,35.8,1239,10,3610,72,24,5355,4018,2078,1504,574
04001,66054,32843,33211,4091,4823,5439,5213,4268,8628,7343,7269,3934,4585,6377,3130,954,35.6,13556,585,48176,374,877,66054,29032,19786,15838,3948
04003,125504,64221,61283,6731,7538,7654,7999,7371,15694,14286,12894,7478,8754,16601,9582,2922,41.4,89661,5001,1170,2435,5341,125504,59056,49680,34882,14798
04005,144705,71707,72998,7052,8208,8467,15291,19056,20141,16200,14605,7675,8557,12662,5489,1302,31.7,84752,2212,36616,2713,7698,144705,69233,51993,30705,21288
04007,53419,26688,26731,2515,3033,3011,2622,2565,5228,4932,5345,3249,5126,9243,4812,1738,50.6,37037,389,8433,383,2015,53419,32519,22714,17178,5536
04009,38453,20530,17923,2529,2472,3356,2871,2863,5699,5264,4134,1886,1978,3128,1669,604,34.1,26349,759,4601,284,1609,38453,13755,12018,8824,3194
04011,9483,5027,4456,688,824,685,750,682,1012,1598,917,636,392,834,409,56,35.5,7158,171,323,71,289,9483,4409,3304,1857,1447
04012,16681,8617,8064,727,727,783,557,699,1429,1400,1598,813,1200,3084,3117,547,57.3,10593,94,2516,153,989,16681,13692,8911,6092,2819
04013,4430871,2208150,2222721,259471,278403,303787,300438,301557,643380,585028,550224,265846,249967,399436,213534,79800,37.1,2954182,252690,83296,189627,339881,4430871,1821463,1665560,1071054,594506
04015,214229,108677,105552,8881,9818,10228,10205,9343,21891,19790,22298,15310,19481,38106,23073,5805,52.9,178146,2422,4136,2313,9613,214229,118073,95169,69067,26102
04017,107110,54016,53094,6743,7892,8278,7493,6100,12856,11718,11484,7039,7157,12581,6247,1522,38.7,49409,1194,46154,418,3409,107110,56556,37565,27163,10402
04019,1042393,516095,526298,53645,58141,61819,70712,92358,134234,120411,112271,60159,66078,120304,68667,23594,39,686722,36039,35278,30281,104543,1042393,471058,423075,271377,151698
04021,433338,226232,207106,23316,26053,29503,26470,25026,57110,56944,48603,24798,25558,53138,29386,7433,39.8,299613,19867,20660,6791,33521,433338,175474,151490,120657,30833
04023,47838,23193,24645,3132,3336,3879,3656,3086,5636,5294,5326,2686,2970,5160,2857,820,37.3,24750,142,273,65,5237,47838,18811,16651,11190,5461
04025,237830,117352,120478,9056,9568,11871,12007,10853,21306,21503,24133,17552,22127,46726,23872,7256,54.5,201005,1543,3296,2480,10385,237830,121829,106542,77893,28649
04027,204374,105162,99212,14059,13578,15054,14551,15797,28473,22903,19944,9529,10261,19816,15867,4542,35.3,118769,3969,2662,2254,23954,204374,92808,74678,51575,23103
05001,17024,8252,8772,1047,1148,1177,959,804,1920,2128,2034,1131,1285,2078,937,376,41.4,12112,4379,46,8,118,17024,8717,6559,4345,2214
05003,19018,8986,10032,1149,1082,1308,1285,972,1976,2029,2503,1197,1506,2270,1075,666,43.1,13461,4725,43,25,181,19018,9432,7194,5347,1847
05005,41801,20433,21368,1758,1884,2263,2192,1722,3842,4167,4616,2769,3585,6731,4588,1684,52.1,39074,100,237,230,135,41801,22747,19021,14142,4879
05007,286528,144085,142443,19215,21486,20377,19838,17035,42015,42074,34885,15999,14723,22774,11929,4178,35.7,205967,5374,3225,12068,10490,286528,114425,104164,70667,33497
05009,37662,18657,19005,2119,2568,2300,2338,2077,4360,4299,4687,2360,2705,4519,2351,979,41.9,35724,123,130,165,215,37662,17354,15172,10640,4532
05011,10461,5058,5403,651,612,957,687,449,1157,1441,1294,612,670,1106,578,247,40.2,6370,2722,488,6,305,10461,5112,3587,2329,1258
05013,4773,2420,2353,187,198,317,339,270,681,418,575,437,328,611,354,58,44.2,3542,994,21,8,0,4773,2476,1498,1295,203
05015,28362,14305,14057,1487,1772,1719,2037,1167,3127,3020,3338,1742,2397,4025,1971,560,44.6,22594,103,264,346,619,28362,13858,11357,8682,2675
05017,10234,5150,5084,578,482,797,632,680,1021,1103,1277,639,849,1211,637,328,43.2,4339,5483,4,26,65,10234,5131,4008,2723,1285
05019,21469,10113,11356,1077,1068,1334,2269,3297,2374,2056,2125,1199,1200,1988,1130,352,31.7,14848,5157,17,140,600,21469,10039,7955,4964,2991
05021,14537,6958,7579,757,779,952,946,761,1733,1609,1800,939,1055,1717,1123,366,42.7,13720,98,39,6,73,14537,7514,6063,4455,1608
05023,24948,12469,12479,1078,1285,1429,1381,1163,2368,2725,2781,1898,2007,3686,2365,782,49.5,23593,96,196,53,112,24948,15619,10626,8360,2266
05025,7548,3494,4054,300,340,592,573,330,802,982,904,588,566,938,388,245,42.5,6339,992,2,0,0,7548,3604,2742,2292,450
05027,22707,10991,11716,1383,1281,1348,1937,2569,2796,2417,2335,1374,1353,2135,965,814,35.1,13877,8082,104,104,133,22707,11051,7826,5660,2166
05029,20782,10354,10428,1151,1336,1464,1141,1207,2442,2310,2616,1640,1427,2340,1221,487,42.2,17343,2290,75,85,287,20782,9659,8422,5742,2680
05031,111038,54232,56806,7468,7631,7955,8496,8397,16657,14491,12462,6919,5443,8770,4588,1761,34.4,83513,18035,383,1357,2858,111038,47084,42351,25279,17072
05033,60593,29905,30688,3669,3721,4500,4013,3597,7698,7369,7574,4274,3761,6027,3498,892,39.2,51822,771,603,790,1379,60593,25453,22731,17171,5560
05035,47945,22739,25206,3534,3710,3452,3563,3114,6179,5696,5660,2930,3106,4211,2139,651,35.8,19945,24005,65,367,117,47945,21335,18587,10443,8144
05037,16827,8161,8666,1060,1296,987,1092,826,1987,2117,2081,1178,1097,1789,1100,217,40.7,12275,3286,49,5,10,16827,7618,6564,4348,2216
05039,6472,3185,3287,326,281,438,527,229,715,694,688,578,409,933,400,254,45.8,3405,2856,0,4,18,6472,3511,2289,1638,651
05041,11285,5452,5833,717,891,733,706,547,1311,1269,1320,760,869,1277,648,237,40.7,5365,5376,8,25,187,11285,5828,4603,2877,1726
05043,17309,8401,8908,1006,922,1203,1879,1393,1862,1835,1875,965,1284,1781,1061,243,37.5,11655,4654,8,125,177,17309,8289,6913,4639,2274
05045,124611,60844,63767,7241,8131,7753,9885,14434,17083,15891,13903,7197,6570,9824,5280,1419,33.8,100955,14230,366,1302,2463,124611,52070,47396,29531,17865
05047,17160,8427,8733,899,1052,1182,1131,871,1893,2012,2316,1148,1236,1936,945,539,42.5,15377,96,80,140,159,17160,7750,6705,4940,1765
05049,12183,6091,6092,622,692,764,783,614,1087,1171,1442,799,1099,1692,1112,306,47.4,11334,23,44,4,5,12183,6247,4780,4040,740
05051,100021,48360,51661,5220,5914,5105,5605,5266,11091,11317,11865,6771,7822,13763,7764,2518,45.4,84455,7924,502,743,1521,100021,52383,43220,29509,13711
05053,18022,9080,8942,932,956,1305,1194,1026,2231,2190,2394,1326,1195,1886,1125,262,40.2,16647,464,20,64,191,18022,7874,6856,5506,1350
05055,45954,22749,23205,2861,3029,3155,3091,2872,6164,5785,5943,2842,2783,4184,2467,778,37.8,42055,1144,76,197,463,45954,19235,17741,11421,6320
05057,20037,9734,10303,1124,1440,1705,1159,1308,2233,2141,2443,1442,1377,2131,1349,185,40.4,11379,6206,155,38,1632,20037,9663,7355,4977,2378
05059,33129,17621,15508,1528,2032,1848,1836,1863,4333,4287,4376,2182,2476,3857,1999,512,42.6,27782,3803,132,83,112,33129,14247,11900,9360,2540
05061,12779,6099,6680,856,799,1081,861,677,1194,2083,1256,776,886,1277,787,246,39.7,8227,2770,27,104,1302,12779,6168,5224,3792,1432
05063,37910,18947,18963,2380,2342,2831,2548,2427,4267,4736,4689,2565,2526,3816,1944,839,39.1,32862,727,122,274,1431,37910,16689,14417,10006,4411
05065,13748,7294,6454,555,627,727,697,690,1562,1546,1764,1024,1067,1877,1222,390,47.7,12189,249,126,5,131,13748,6764,4850,3747,1103
05067,16784,8419,8365,854,966,865,945,1227,2334,2379,2050,1176,1005,1799,881,303,40.2,12770,2041,15,73,56,16784,7118,6116,4075,2041
05069,66934,33541,33393,3981,4226,3663,4650,4710,8602,8098,8077,4492,4619,7218,3481,1117,39.5,25818,37460,85,523,954,66934,30767,24278,15371,8907
05071,25925,12974,12951,1717,1713,1830,2010,1420,3150,2922,3265,1709,1863,2594,1326,406,39,22047,417,128,782,467,25925,11503,9899,6967,2932
05073,6277,3218,3059,234,302,433,362,432,394,826,738,600,438,864,487,167,48.3,3740,2099,17,61,97,6277,3948,2547,1960,587
05075,16258,8130,8128,955,918,1111,1168,1156,1909,1802,1933,1135,1109,1706,890,466,39.8,15205,227,31,10,42,16258,7556,6359,4274,2085
05077,8666,4882,3784,483,367,491,533,599,1142,1231,1018,717,382,1021,411,271,41.6,3663,4793,9,16,47,8666,3736,2586,1601,985
05079,13016,8335,4681,549,401,659,525,875,2154,2279,2094,736,798,1192,610,144,40.6,8250,3884,62,0,489,13016,4400,3378,2655,723
05081,12024,5849,6175,676,744,784,725,680,1310,1488,1416,729,937,1513,887,135,42.3,8697,2238,126,27,163,12024,6077,4734,3971,763
05083,21247,10501,10746,1250,1059,1375,1205,1166,2466,2499,2749,1662,1560,2482,1371,403,43.5,19066,336,89,388,159,21247,9779,8405,6229,2176
05085,74292,36875,37417,4549,4468,6199,4966,4354,10285,10395,9563,4475,4627,6334,2829,1248,37,64497,4108,153,758,936,74292,30238,27582,19977,7605
05087,16737,8474,8263,1059,1226,945,1067,786,2026,1828,2119,1352,1064,1976,1036,253,41.1,13326,8,61,167,228,16737,7666,6250,4987,1263
05089,16905,8389,8516,722,903,975,780,650,1559,1609,1919,1440,1481,2927,1544,396,51.7,15990,88,69,122,33,16905,9515,7140,5866,1274
05091,42682,21257,21425,2574,2679,3122,2863,2491,5423,5560,5294,2693,2910,4252,2330,491,39.9,29222,10753,371,148,1106,42682,19790,15863,10517,5346
05093,40361,19837,20524,2800,2830,3026,2827,2650,5305,4935,4637,2792,2516,3696,1696,651,37,23530,14037,60,164,569,40361,19194,15005,9027,5978
05095,6787,3278,3509,453,451,312,392,408,602,734,755,597,490,875,456,262,45.8,3656,2954,9,22,0,6787,3864,2826,1796,1030
05097,8555,4380,4175,392,364,512,418,402,865,823,1013,709,744,1335,752,226,50.5,7777,64,86,72,232,8555,5473,3589,2887,702
05099,8292,4058,4234,462,632,579,440,522,631,948,1146,638,555,968,507,264,44.7,5320,2798,10,13,2,8292,4323,3154,2103,1051
05101,7243,3724,3519,322,312,450,482,441,575,718,845,400,767,1152,686,93,48.7,6734,10,88,0,62,7243,4124,2905,2172,733
05103,22606,11039,11567,1237,1275,1677,1564,1098,2356,2578,2797,1512,1855,2772,1230,655,43.9,12619,9275,32,8,41,22606,11925,8459,6239,2220
05105,10055,5182,4873,479,756,565,621,482,1064,1266,1331,555,892,1216,638,190,44,9156,234,14,7,208,10055,4946,3829,2903,926
05107,16373,7600,8773,1146,1092,1351,1203,911,1648,1801,1706,1224,1084,1915,971,321,39.7,5718,10189,4,93,44,16373,8434,6180,3318,2862
05109,10205,5013,5192,499,726,562,668,617,1087,1217,1305,620,811,1204,672,217,43.3,9048,425,15,28,251,10205,5319,4007,3023,984
05111,22997,11246,11751,1488,1478,1567,1517,1321,2871,2537,2955,1646,1417,2457,1168,575,39.9,19685,988,60,5,222,22997,10415,9082,5778,3304
05113,19384,9508,9876,1100,1360,1121,1279,1008,1881,2058,2306,1368,1507,2516,1430,450,44.4,17457,25,302,34,555,19384,9652,7717,6165,1552
05115,63475,31401,32074,3877,3942,4318,5083,5214,8142,7423,7394,3888,4088,5758,3086,1262,36.7,54268,1576,770,639,2343,63475,26940,23684,17056,6628
05117,8217,4128,4089,404,385,447,589,398,870,859,1105,581,636,1012,701,230,46.5,6970,866,4,17,95,8217,4105,3314,2562,752
05119,398322,190970,207352,25148,25802,25736,24031,26732,57434,51563,47129,25513,24848,39372,16907,8107,37.7,209994,148791,1389,8976,10768,398322,190782,167768,97554,70214
05121,18619,9393,9226,1138,1063,1521,1127,977,2251,2190,2205,1124,1346,2015,1260,402,39.1,16846,258,52,71,105,18619,8587,7190,5281,1909
05123,23138,12793,10345,1408,1549,1165,1570,1162,3425,3315,2607,1514,1396,2503,1202,322,38.8,9259,12369,109,25,504,23138,9653,8102,4395,3707
05125,123988,60702,63286,7013,8076,8252,7918,6548,15538,16952,15554,7589,7915,13007,7558,2068,40.3,104854,10443,255,1413,2108,123988,51927,48465,37911,10554
05127,9871,5205,4666,499,643,782,573,465,1086,1044,1254,794,677,1162,750,142,42.8,8426,119,50,63,462,9871,4880,3901,2897,1004
05129,7880,3944,3936,377,452,435,449,433,757,872,851,593,671,1142,629,219,46.9,6954,33,217,21,15,7880,4725,2948,2161,787
