county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Griggs County,North Dakota,29.34940678211642,1,0.34916914338119975,0.726027397260274,0.7336513055373003,0.23291207774057004,0.6696997918441456,0.3333126614695972,1029.483974952462,922.2211320208828,90.54743170771543,16.71541122386366,0,2245,1360,61711,1958,4,1,2,0
Hettinger County,North Dakota,29.518215951829514,1,0.40888069940558736,0.6438356164383562,0.6478904428117443,0.2697728766917766,0.562643383932045,0.33967374625956853,2767.499563197086,2183.0814273482492,489.16552470157757,95.2526111472594,0,2432,1444,73026,1964,4,1,3,0
Kidder County,North Dakota,26.594169525914957,1,0.38557593056813644,0.5616438356164384,0.6255581322369863,0.2549140681486412,0.5592591306296564,0.3378550612438232,1937.9513754152808,1651.666800061239,269.77122563682184,16.51334971722015,0,2377,1660,65610,1970,6,2,3,0
LaMoure County,North Dakota,32.14298595058932,1,0.39458137590386866,0.6301369863013699,0.6790933914874903,0.2949611701259818,0.5692218749101177,0.38154997195598855,2011.485667818045,1696.5466225487316,251.5260399592155,63.41300531009792,0,4118,2066,80664,1965,5,2,2,0
Logan County,North Dakota,23.1249911974832,1,0.346461025431467,0.6027397260273972,0.6421037547591183,0.23210651561263781,0.5610284661425449,0.31658442510164997,566.0328658444552,452.16648272941484,86.54394239196724,27.322440723073086,0,1819,1070,62750,1967,4,2,2,0
McHenry County,North Dakota,35.050037379537294,1,0.4285187224251117,0.6164383561643836,0.6887983967317459,0.30346361696070595,0.5595892133330772,0.40020871501612504,4596.632088130213,3905.175720329856,661.055724428206,30.38144568698652,0.019197685164400933,5207,2833,80733,1966,6,2,3,0
McIntosh County,North Dakota,27.807043647143743,1,0.36550354480865144,0.7671232876712328,0.6269843435632162,0.23325815525810256,0.5871208514081424,0.34177082504028533,673.7634868829842,533.4915115019348,97.61088877356917,42.661086607480186,0,2497,1677,64419,1955,3,1,2,0
McKenzie County,North Dakota,35.73605640804813,2,0.4577590052595017,0,0.7256443895195853,0.39391001779887924,0.46717870344785717,0.4806706461205408,1712.334877343293,1199.0081597827796,297.89957594052174,215.42714161999172,0,14321,7752,93404,2011,4,1,2,0
McLean County,North Dakota,36.832289328305755,2,0.4758440774386967,0.4931506849315068,0.6856733110707383,0.3315016398585221,0.44106380478010676,0.450686876123456,7770.089248087218,6229.558604443753,1043.0527630935696,497.47788054989564,0,9823,5807,83583,1975,7,1,4,1
Mercer County,North Dakota,35.717031716749766,2,0.45838272444299,0.410958904109589,0.651635628664714,0.3157953412616228,0.5171141166351259,0.43764204964059084,5035.739453762181,3984.8421814837848,1017.0583740060798,33.838898272316854,0,8337,4667,80946,1981,6,1,4,0
