county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Autauga County,Alabama,49.5697599999543,4,0.5349252714811878,0.23287671232876717,0.35063259470865327,0.28998254133896256,0.7252644716479695,0.5945453893857505,29715.272740628254,26678.94710789953,2954.4955702817147,81.83006244700937,0,59947,25039,72481,1994,3,1,2,0
Baldwin County,Alabama,59.91229050697636,5,0.6543264278493423,0.1643835616438356,0.3571718399120445,0.3376148071386038,0.5997360242309633,0.7071625881701671,277171.18933137605,245729.7127436276,30843.996845871126,597.4797418773456,0,246989,132258,78775,1999,6,1,2,3
Barbour County,Alabama,39.469387989750736,2,0.5048705141108433,0.3835616438356164,0.29208544065461256,0.17962244545917036,0.6495015792530376,0.5238394868756404,16103.519628007853,13804.47427504018,2258.190312128975,40.85504083869621,0,24643,11762,46042,1983,4,1,3,0
Bibb County,Alabama,40.39238527211303,2,0.4731602628517279,0.28767123287671237,0.3125190982803089,0.20910528764329092,0.758318343063785,0.5152847175972758,9729.427920746806,8688.27489490504,1011.3054296786411,29.847596163126983,0,22130,9133,52541,1990,2,1,1,0
Blount County,Alabama,50.53129944481609,4,0.5275094898599217,0.28767123287671237,0.3923793094326903,0.25478021933999084,0.7782397701429469,0.5939741443538903,20221.242544885266,17698.549745450706,2441.791625112403,80.9011743221569,0,59518,24918,64190,1990,1,1,0,0
Bullock County,Alabama,30.989699935660052,1,0.43460945738013107,0.3287671232876712,0.3040866446222398,0.1233544548851351,0.7034416073556913,0.4525671339651983,4608.979202272792,4039.594093640285,553.7934064964539,15.591702136052827,0,10058,4579,31310,1987,3,1,2,0
Butler County,Alabama,39.12501011158086,2,0.47733898664493285,0.4383561643835616,0.321919748954736,0.17216705220385536,0.7161359107811943,0.5015918463591097,10115.961839403251,8997.672121739564,1085.9437996419856,32.34591802170061,0,18630,9885,44755,1979,3,1,2,0
Calhoun County,Alabama,54.382090922779625,4,0.5861370969878739,0.4383561643835616,0.37778078573108087,0.21998655185012383,0.6802202670236043,0.6471125983702797,54949.06921325847,46725.65417105952,8021.871374520886,201.54366767807113,0,116090,53361,55029,1979,3,1,2,0
Chambers County,Alabama,44.26456270513432,3,0.5054539829437265,0.4383561643835616,0.3300243605615348,0.1971583531441408,0.7172455483863444,0.5498875804253719,16087.08216557371,14331.668451389622,1700.9892051046058,54.42450907948327,0,34192,16435,49656,1979,3,1,2,0
Cherokee County,Alabama,42.90865512295178,3,0.5076287422801891,0.34246575342465757,0.33002300142476687,0.2217928068949457,0.7193239863603187,0.52638048570579965,14004.04737208457,11911.90409067961,2044.2542751674848,47.889006237474746,0,25443,14702,53863,1986,2,1,1,0
Chilton County,Alabama,48.123450304822164,4,0.5188196992213701,0.31506849315068497,0.34086613914288655,0.2560415826029628,0.758318343063785,0.5734684302817264,21134.580151067108,18872.95364502585,2196.7905857215114,64.83592031974995,0,45992,19839,65603,1988,2,1,1,0
Choctaw County,Alabama,36.806792366714134,2,0.46375071261380924,0.36986301369863017,0.3465268265028846,0.18803899216963826,0.7251565264250213,0.4690870514361804,6821.324369321397,5850.247556251684,947.6271663451665,23.44964672454739,0,12380,7200,47813,1984,2,1,1,0
Clarke County,Alabama,41.65327297737203,3,0.5036740940738134,0.410958904109589,0.3421003864765189,0.19236299653330097,0.7046931986004636,0.516755366820497,18016.13365463593,15810.724671601147,2146.718246137639,58.6907368971468,0,22543,11749,49249,1981,3,1,2,0
Clay County,Alabama,37.73228093002241,2,0.4592821640223388,0.36986301369863017,0.34235822735553006,0.22074054653519354,0.7137590952927058,0.47995098087124266,7487.473410668645,6646.986393075287,813.2627057799343,27.224311813422844,0,14192,7106,55250,1984,3,1,2,0
Cleburne County,Alabama,38.839305820770505,2,0.45405153130507003,0.3013698630136986,0.38629373926490407,0.22323297417484395,0.7557719607617741,0.48658219099652356,6712.111197810967,5980.217701431988,709.1302426270856,22.763253751893398,0,15426,6874,55345,1989,2,1,1,0
Coffee County,Alabama,47.14148124479478,3,0.5529124303657696,0.3287671232876712,0.312804757864577,0.27180263337375654,0.6162365714415491,0.5875792082525422,40118.082821487995,34594.154753383074,5440.601593054057,83.32647505086226,0,54920,24656,68353,1987,5,1,4,0
Colbert County,Alabama,49.21214133868676,4,0.5717258741081326,0.4383561643835616,0.39983243197715046,0.241993965412495,0.6073130555724913,0.5919493859784816,38881.61505161505,30842.70657913515,8017.90761619333,21.000856286570574,0,58022,28040,60628,1979,4,0,1,3
Conecuh County,Alabama,33.91421473645261,1,0.46552911659788593,0.3972602739726028,0.31903081009186235,0.16219781399101652,0.6601262193355311,0.4616512123471985,8604.978906709475,7488.130146450098,1091.9487810017326,24.899979257645022,0,11275,6444,41327,1982,4,1,2,1
Coosa County,Alabama,36.646923634050964,2,0.4489995699854413,0.3561643835616438,0.33138102757940563,0.21760278238995528,0.7583183430637849,0.4544580370955176,6453.615936043376,5763.009888682221,670.8078717828981,19.798175578257226,0,10300,6058,57355,1985,2,1,1,0
Covington County,Alabama,41.8470000677965,3,0.5406182093800639,0.4383561643835616,0.31011297339456323,0.21039150892697378,0.5396556913603697,0.5575037841056972,35821.69686053457,31101.96737005512,4542.666669991745,177.06282048770427,0,37628,18714,52456,1979,7,1,4,2
Crenshaw County,Alabama,35.65890577356915,2,0.45793727083667174,0.3972602739726028,0.3127631201208662,0.18820357099625765,0.6889175209383414,0.47371650166102586,8324.834861737125,7489.900177735979,812.8789502565162,22.055733744628203,0,13122,6583,48560,1982,4,1,3,0
Cullman County,Alabama,52.12520200569467,4,0.5861154458630368,0.3287671232876712,0.3843480346270297,0.2555675694881251,0.6387648389955188,0.6273642502560962,65477.9982121755,55200.58170364463,10139.42796915291,137.98853937796042,0,90566,39871,62656,1987,4,1,2,1
Dale County,Alabama,44.61016668575185,3,0.5581983328942708,0.3835616438356164,0.3020697676270363,0.21656163750989152,0.5729773409778453,0.5794737692415851,47477.298926677504,40628.25093824661,6768.599421538959,80.44856689194143,0,49599,22968,54963,1983,6,1,4,1
Dallas County,Alabama,43.33370723522121,3,0.5256253022730556,0.4657534246575342,0.3503333840948915,0.14076281109886676,0.672557918748325,0.5558592945608721,25045.781213692804,22112.67330644832,2871.0299522169908,62.07795502749547,0,36858,18936,35627,1977,4,1,3,0
DeKalb County,Alabama,47.109874335335,3,0.5674442087435503,0.36986301369863017,0.28854055867234285,0.2064055878948179,0.6021734153043958,0.609413778867291,29507.4724074325,23129.764342936865,6368.081599366547,9.62646512908616,0,72269,30963,51204,1984,4,0,3,1
Elmore County,Alabama,53.73688507111451,4,0.5560170152766213,0.2191780821917808,0.3196717614189739,0.3130910822384395,0.7583183430637849,0.6264456000898718,39760.3677089711,35505.5823828469,4132.809871005795,121.9754551184045,0,89526,37323,78243,1995,2,1,1,0
Escambia County,Alabama,44.1861171998263,3,0.5123577486017653,0.3835616438356164,0.3077527329857779,0.1926060405840873,0.7199548887663685,0.5553635867234646,19769.54243205311,17652.32949576736,2058.748877863109,58.46405842263734,0,36629,16816,48225,1983,3,1,2,0
Etowah County,Alabama,52.932704419071186,4,0.5860777053543245,0.4931506849315068,0.35022693862693793,0.2210188386645722,0.6378768029704743,0.6376779140441163,57476.66824742321,48534.83099703778,8760.459017891075,181.37823249435672,0,103105,47603,54563,1975,4,1,3,0
Fayette County,Alabama,39.13611231956646,2,0.47483960412246384,0.4246575342465754,0.3287678667630156,0.19418014199657102,0.7254792400982072,0.4897509389156602,8903.285762138734,7628.245393402642,1249.6836719122682,25.35669682382396,0,16053,7810,49488,1980,2,1,1,0
Franklin County,Alabama,43.692075897186584,3,0.5221096808151852,0.3835616438356164,0.3773919492064741,0.2093614708393153,0.6646845229448238,0.5445332538354812,19121.168402654293,15826.517497267481,3246.1915223741253,48.45938301268462,0,31966,14002,53338,1983,3,1,1,1
Geneva County,Alabama,41.67974508497285,3,0.5035365945159902,0.4383561643835616,0.30189052974991154,0.20619231435495392,0.6683138424086583,0.530771060224843,17129.463887032307,15050.638534306807,2033.9850444962226,44.84030822927737,0,26887,12584,52771,1979,4,1,2,1
Greene County,Alabama,30.53860541800627,1,0.4331267507529444,0.410958904109589,0.28398151081116574,0.1162670110997062,0.7251565264250213,0.4284178329114664,4053.9509689342026,3476.8346240556884,563.180089554301,13.93625532421365,0,7424,4279,29200,1981,2,1,1,0
Hale County,Alabama,36.293293596436435,2,0.46688631072604553,0.3561643835616438,0.28255117750739783,0.16080103901656306,0.7251565264250212,0.4834430120786281,7194.602397309263,6170.386103079902,999.4834307257216,24.73286350364068,0,14829,7594,39250,1985,2,1,1,0
Henry County,Alabama,39.834545101775106,2,0.4925168924491228,0.3972602739726028,0.30132596597414374,0.2372450621958707,0.674961945421036,0.4972804717359464,11937.873862910785,10042.232408933472,1865.4544941062336,30.18695987107829,0,17647,9215,59931,1982,3,1,2,0
Houston County,Alabama,53.536089466063885,4,0.5925183062463375,0.3561643835616438,0.29092554878607135,0.23839663261244415,0.6867851480051539,0.6414702117189054,72601.14175469243,62099.90856172867,10332.212200275835,169.02099268792978,0,108140,50158,58626,1985,3,1,1,1
Jackson County,Alabama,46.41721278583867,3,0.5590699603174228,0.3561643835616438,0.3236925056715425,0.2103941961931999,0.6324755489963669,0.5848283030304031,24601.588894641776,18950.020725544946,5641.4265383040765,10.14163079275232,0,53053,24914,51908,1985,3,0,2,1
Jefferson County,Alabama,70.18105211541365,5,0.6784030612689382,0.4931506849315068,0.3782213479896457,0.2778996255388727,0.6993593366103419,0.7862702908106858,266043.8349499296,232191.62544501483,32841.1720594373,1011.0374454775191,0,667755,310789,66388,1975,3,1,0,2
Lamar County,Alabama,38.55367834472093,2,0.4694204718997754,0.452054794520548,0.3516884852894018,0.19295696136293988,0.7254792400982072,0.47710418490585915,8120.1158109749285,6957.233282612933,1139.7563117837499,23.12621657824559,0,13693,7123,50000,1978,2,1,1,0
Lauderdale County,Alabama,56.1985409304018,5,0.5931749382205166,0.4246575342465754,0.39069714816871814,0.25583823835826164,0.7252535744322689,0.6318579221829678,52289,41594,10687,8,0,95830,44936,62649,1980,1,0,0,1
Lawrence County,Alabama,43.97369040666628,3,0.5373190969571809,0.28767123287671237,0.3358727587456083,0.26027937773671617,0.6327138485502064,0.5477277349367287,29611.023340471613,24716.53407697096,4837.828466568069,56.660796932583565,0,33276,15403,66071,1990,4,1,2,1
Lee County,Alabama,55.948852824734516,4,0.6100032734049953,0.1917808219178082,0.2854991050646283,0.28147273011256274,0.6685521171394143,0.6824970642487808,102008.00162448802,89681.23850635698,12045.529543129951,281.23357500108756,0,181134,79619,65824,1997,4,1,2,1
Limestone County,Alabama,57.35448925064887,5,0.5808826470129924,0.17808219178082196,0.34812814333511055,0.3448489062694635,0.774347770114252,0.64371322993702,59121,50985,8122,14,0,111233,44354,83629,1998,1,0,0,1
Lowndes County,Alabama,30.27377786986242,1,0.443842846264065,0.273972602739726,0.349060544020359,0.14343473888292385,0.6464671636452832,0.45076779911733816,6697.56139340475,5997.794584601592,683.1587893908991,16.608019412259008,0,9833,4847,37052,1991,5,1,4,0
Macon County,Alabama,39.01660959675326,2,0.4947012982819206,0.4383561643835616,0.28649975809018696,0.16924622897879738,0.6917880758740912,0.5018518413087928,15531.581860521155,13564.908376331634,1814.0509871570284,152.62249703249194,0,18691,9653,43707,1979,3,1,1,1
Madison County,Alabama,69.26494282048952,5,0.6524288338339539,0.26027397260273977,0.3470595496184536,0.35877827438526627,0.8053308078938834,0.7466389252025954,220576,197537,23010,29,0,405718,178607,86499,1992,1,0,0,1
Marengo County,Alabama,39.27130782222286,2,0.4822968357842418,0.3972602739726028,0.31971683836106973,0.1709577332415083,0.7251565264250213,0.5025297845038162,9348.05660445753,8017.2767552132445,1298.644062545522,32.13578669876515,0,18851,9867,43825,1982,2,1,1,0
Marion County,Alabama,44.14122451326285,3,0.5101093815082957,0.452054794520548,0.3433619485465757,0.1914358299518014,0.7254792400982072,0.5372912696146849,16210.592002255158,13889.071638179968,2275.35234501824,46.168019056949646,0,29184,14220,50088,1978,2,1,1,0
Marshall County,Alabama,48.74577021607542,4,0.611513572975132,0.34246575342465757,0.3632077465662802,0.25587453867559645,0.45535646779800043,0.635045122285132,100098.18159285861,80114.25891681404,19821.889460118466,162.03321592611246,0,99748,41762,62571,1986,8,1,5,2
Mobile County,Alabama,65.63048184676433,5,0.645871221678963,0.4246575342465754,0.3782849980681422,0.24104669423566966,0.7398664322169132,0.7479748645369919,151175.53636182175,132329.00586374637,18242.378787656588,604.1517104187977,0,412590,186082,58880,1980,2,1,1,0
Monroe County,Alabama,38.46375244920635,2,0.5034425685413072,0.36986301369863017,0.3514779408856943,0.16912888499780915,0.6502335048841469,0.5047637930452465,23306.9763137978,20948.84836330899,2305.6895247674865,52.438425721325835,0,19388,10208,42292,1984,5,1,4,0
Montgomery County,Alabama,59.9996820823384,5,0.6196074348576215,0.4383561643835616,0.329030974510091,0.23811449794287912,0.7034416073556913,0.7003511303529025,106815.78552618276,93619.95300528513,12834.4857153986,361.3468054990308,0,226718,106121,59386,1979,3,1,2,0
Morgan County,Alabama,55.54482946762752,4,0.6098536800016385,0.3835616438356164,0.36661718830496787,0.2791553331785437,0.6256049756987975,0.6526569918919432,89903.25561483607,73732.5454418502,16134.430771001978,36.27940198388318,0,124471,53905,68845,1983,4,0,2,2
Perry County,Alabama,30.81734897738084,1,0.4317669300558476,0.3561643835616438,0.3114773312628956,0.14544640143584492,0.7051461947217629,0.4346680934042518,4759.1520762720465,4174.237980838815,571.9254569763793,12.988638456851342,0,8031,3962,37654,1985,3,1,2,0
Pickens County,Alabama,39.73933086732098,2,0.4750843478128823,0.4383561643835616,0.338445422922782,0.18308121272727307,0.7251565264250212,0.5019793965889644,8269.908391639789,7092.612627572353,1148.8663243093,28.4294397581353,0,18721,8729,46274,1979,2,1,1,0
Pike County,Alabama,40.639956898150444,2,0.5130777488719287,0.34246575342465757,0.3022770756021108,0.19926363181225612,0.6187245412785831,0.547033945586409,13906.988843605945,11648.773086338555,2077.6444845836,180.5712726837902,0,32987,16238,48677,1986,4,0,2,2
Randolph County,Alabama,42.72518462130125,3,0.4892698208321946,0.34246575342465757,0.38353819229905806,0.21722397920370837,0.755771960761774,0.5166388517080512,12210.496149058212,10879.05475071385,1290.0310858381883,41.4103125061721,0,22510,12505,52338,1986,2,1,1,0
Russell County,Alabama,48.57456590497979,4,0.5361040318294898,0.3561643835616438,0.27362672545361105,0.2095650504487784,0.755771960761774,0.5930236768303229,27058.381350384014,24107.915729470733,2858.700633319635,91.76498759364533,0,58811,27711,51197,1985,2,1,1,0
St. Clair County,Alabama,63.8082249729667,5,0.6087096093192533,0.17808219178082196,0.36913153879247407,0.3111038803808802,1,0.630464679946144,NA,NA,NA,NA,NA,94166,39247,77463,1998,NA,NA,NA,NA
Shelby County,Alabama,62.86330479729777,5,0.6079710951782881,0.1917808219178082,0.3452877796767721,0.4031994116648665,0.737166079613684,0.7015672257857464,81760.15426290224,71360.52841293513,10053.138803739419,346.4870462276923,0,230211,91995,97961,1997,2,1,1,0
Sumter County,Alabama,34.89546203911867,1,0.4564127685961585,0.4383561643835616,0.3127708798054435,0.13017671767161917,0.7251565264250213,0.46579485187595626,6021.713568250944,5164.468537157736,836.5442040680387,20.70082702516989,0,11878,6356,33310,1979,2,1,1,0
Talladega County,Alabama,50.699495290279565,4,0.5663777654229517,0.36986301369863017,0.3458082058963829,0.22724268778968545,0.6730471965771305,0.6185060339063455,50102.446262405836,44342.048862913754,5590.389984185245,170.00741530684206,0,81021,38547,57776,1984,4,1,2,1
Tallapoosa County,Alabama,45.934285508803256,3,0.5344488078583957,0.3561643835616438,0.3101504059257839,0.234734974454598,0.6860626324386627,0.5642095851833944,30917.142811567184,27727.551767301407,3109.321239399545,80.26980486623073,0,40938,23161,59356,1985,4,1,3,0
Tuscaloosa County,Alabama,60.075774647073175,5,0.6210875034086382,0.26027397260273977,0.29468768507965454,0.2795112472595431,0.7251565264250213,0.7040639719694074,98804.98867729562,84739.21078354001,13726.116274741307,339.6616190143121,0,237552,104290,66231,1992,2,1,1,0
Walker County,Alabama,51.084111244896576,4,0.5391480487134894,0.3835616438356164,0.3493127310129187,0.21980435124020822,0.7782397701429469,0.6007873096764652,24642.356975599407,21568.109863165428,2975.6579375617316,98.58917487224562,0,64841,30366,56509,1983,1,1,0,0
Washington County,Alabama,38.27750483046709,2,0.47954942573543274,0.36986301369863017,0.3304911324267966,0.2405941779711186,0.6662769041765111,0.4851095379789883,11963.09736723438,10499.200009013066,1424.948368895667,38.9489893256493,0,15143,7797,61042,1984,4,1,3,0
Wilcox County,Alabama,33.12862475240582,1,0.4586111162708985,0.3561643835616438,0.3465908245849532,0.15833876601390146,0.6709471160367799,0.45346349272354647,8827.094334425881,7787.096653951973,1013.3523157101524,26.645364763757,0,10172,5334,40640,1985,4,1,3,0
Winston County,Alabama,42.4232753528269,3,0.5072247182376226,0.31506849315068497,0.3325879524379616,0.2181083510840257,0.7263508431051686,0.5206757377336096,15887.167180133387,13626.200325349677,2216.734354344084,44.2325004396268,0,23682,13160,57256,1988,2,1,1,0
Aleutians East Borough,Alaska,29.077700055498905,1,0.31088843036928226,0.410958904109589,0,0.24893977678568296,1,0.36841520369233716,NA,NA,NA,NA,NA,3491,1245,65365,1981,NA,NA,NA,NA
Aleutians West Census Area,Alaska,38.77928340042801,2,0.318255309049938,0.28767123287671237,0,0.5537010511984573,1,0.40063519970455025,NA,NA,NA,NA,NA,5235,1356,135500,1990,NA,NA,NA,NA
Anchorage Municipality,Alaska,76.50251025580172,5,0.705437412374849,0.3972602739726028,0,0.43785840027281975,1,0.7196501835316842,NA,NA,NA,NA,NA,288976,120348,103284,1982,NA,NA,NA,NA
Bethel Census Area,Alaska,44.37423593792087,3,0.4467498213805539,0.31506849315068497,0,0.28541131488010857,1,0.5005778828570783,NA,NA,NA,NA,NA,18394,6011,73996,1988,NA,NA,NA,NA
Bristol Bay Borough,Alaska,23.97135720614606,1,0.27253099282594645,0.3561643835616438,0,0.3758298703496913,1,0.2622348371172842,NA,NA,NA,NA,NA,918,798,95625,1985,NA,NA,NA,NA
Chugach Census Area,Alaska,41.7895138573353,3,0.4098972130141909,0.4383561643835616,0,0.3835213583007487,1,0.4221574596053269,NA,NA,NA,NA,NA,6862,3922,90509,1979,NA,NA,NA,NA
Copper River Census Area,Alaska,32.95573463314127,1,0.3690106742643412,0.3561643835616438,0,0.3332827718868281,1,0.34577579090570737,NA,NA,NA,NA,NA,2626,2442,79250,1985,NA,NA,NA,NA
Denali Borough,Alaska,28.088317106002307,1,0.31468358782108946,0.3013698630136986,0,0.3339788782888191,1,0.3228836947407444,NA,NA,NA,NA,NA,1969,1301,80781,1989,NA,NA,NA,NA
Dillingham Census Area,Alaska,34.51760957375944,1,0.36747769368377275,0.3561643835616438,0,0.29815999698180884,1,0.39246729602781294,NA,NA,NA,NA,NA,4724,2399,78533,1985,NA,NA,NA,NA
Fairbanks North Star Borough,Alaska,63.98455155465,5,0.6159483292457661,0.3561643835616438,0,0.3643695684225288,1,0.6315502298370662,NA,NA,NA,NA,NA,95460,42680,88267,1985,NA,NA,NA,NA
Haines Borough,Alaska,29.59158918182463,1,0.31970619914504844,0.3287671232876712,0,0.3587466907912293,1,0.32747263635455987,NA,NA,NA,NA,NA,2086,1379,86927,1987,NA,NA,NA,NA
Hoonah-Angoon Census Area,Alaska,29.016571649914674,1,0.3404084857829353,0.36986301369863017,0,0.2670359522047708,1,0.33561628340676963,NA,NA,NA,NA,NA,2311,1753,61406,1984,NA,NA,NA,NA
Juneau City and Borough,Alaska,56.36147886695245,5,0.5212490489400847,0.3972602739726028,0,0.4455739486981287,1,0.5441041337877525,NA,NA,NA,NA,NA,31794,14249,101661,1982,NA,NA,NA,NA
Kenai Peninsula Borough,Alaska,59.44924716524994,5,0.5933138496497398,0.28767123287671237,0,0.34497673142379026,1,0.5951612889916668,NA,NA,NA,NA,NA,60413,32836,80538,1990,NA,NA,NA,NA
Ketchikan Gateway Borough,Alaska,48.34482876954014,4,0.45609035501695583,0.4657534246575342,0,0.4028951458386651,1,0.47753862070072733,NA,NA,NA,NA,NA,13768,6698,92885,1977,NA,NA,NA,NA
Kodiak Island Borough,Alaska,45.56827170699669,3,0.44446550999378437,0.3287671232876712,0,0.38564468698807475,1,0.4715601030861745,NA,NA,NA,NA,NA,12771,5854,86250,1987,NA,NA,NA,NA
Kusilvak Census Area,Alaska,33.31521547169839,1,0.3655499648698559,0.3013698630136986,0,0.19054173484675657,1,0.43609119072249664,NA,NA,NA,NA,NA,8176,2346,51471,1989,NA,NA,NA,NA
Lake and Peninsula Borough,Alaska,23.940422937844115,1,0.3169735345206549,0.34246575342465757,0,0.2747689562775054,1,0.27005927259120144,NA,NA,NA,NA,NA,1013,1336,65625,1986,NA,NA,NA,NA
Matanuska-Susitna Borough,Alaska,64.95289604937422,5,0.6316095022881667,0.1917808219178082,0,0.3952452841155469,1,0.6449583667283812,NA,NA,NA,NA,NA,112988,51170,94031,1997,NA,NA,NA,NA
Nome Census Area,Alaska,40.82762254159194,2,0.41376994491462926,0.3561643835616438,0,0.3114277797361671,1,0.45103426236094096,NA,NA,NA,NA,NA,9866,4102,78681,1985,NA,NA,NA,NA
North Slope Borough,Alaska,40.85777354367662,2,0.37580347540776166,0.36986301369863017,0,0.36932527880997396,1,0.458301622482648,NA,NA,NA,NA,NA,10810,2642,95694,1984,NA,NA,NA,NA
Northwest Arctic Borough,Alaska,37.750475141613435,2,0.37907233094506143,0.3287671232876712,0,0.32608279519164335,1,0.4285997347147047,NA,NA,NA,NA,NA,7441,2744,84018,1987,NA,NA,NA,NA
Petersburg Borough,Alaska,33.35292699983635,1,0.3456593313746785,0.4383561643835616,0,0.32512561950198204,1,0.36652516555622244,NA,NA,NA,NA,NA,3409,1863,75125,1979,NA,NA,NA,NA
Prince of Wales-Hyder Census Area,Alaska,35.435175857155514,2,0.3936770867566611,0.3287671232876712,0,0.2570302224196832,1,0.40761169558306,NA,NA,NA,NA,NA,5715,3250,61156,1987,NA,NA,NA,NA
Sitka City and Borough,Alaska,44.61134070316941,3,0.41500244734719505,0.4246575342465754,0,0.4460366254473212,1,0.437937221502488,NA,NA,NA,NA,NA,8368,4161,101727,1980,NA,NA,NA,NA
Skagway Municipality,Alaska,24.41591260624563,1,0.2569430422250895,0.3561643835616438,0,0.3744187301109095,1,0.2863833121627224,NA,NA,NA,NA,NA,1244,666,81136,1985,NA,NA,NA,NA
Southeast Fairbanks Census Area,Alaska,38.22669939805977,2,0.4004417020661236,0.31506849315068497,0,0.3129192082490359,1,0.42450978091286834,NA,NA,NA,NA,NA,7068,3515,73882,1988,NA,NA,NA,NA
Wrangell City and Borough,Alaska,28.597004894026707,1,0.314816091191021,0.4794520547945206,0,0.2829991330209358,1,0.32754882333722957,NA,NA,NA,NA,NA,2088,1303,63750,1976,NA,NA,NA,NA
Yakutat City and Borough,Alaska,17.29630355862797,1,0.2125863087027766,0.3972602739726028,0,0.33429404773275156,1,0.2181550185827296,NA,NA,NA,NA,NA,527,398,85000,1982,NA,NA,NA,NA
Yukon-Koyukuk Census Area,Alaska,34.67417325969939,1,0.4054264091100935,0.36986301369863017,0,0.20811320261173333,1,0.40002523349571617,NA,NA,NA,NA,NA,5195,3724,55741,1984,NA,NA,NA,NA
Apache County,Arizona,46.74716742819538,3,0.535961875437054,0.3287671232876712,0.4353097076227569,0.15237999936451513,0.6871527248220575,0.6013982879451201,27869.75249597033,25097.80108445014,2650.7169891065023,121.23442241368807,0,65341,28997,41438,1987,4,1,1,0
Cochise County,Arizona,53.927950101434895,4,0.5933037509220933,0.3287671232876712,0.36540738849630094,0.25064896598847364,0.6473479428890716,0.6533536510929463,90711.67094160887,81781.05598758263,8378.333704749595,550.2909267258974,1.9903225507547186,125566,59666,59742,1987,5,2,2,0
Coconino County,Arizona,56.34369234366752,5,0.5869845040387192,0.273972602739726,0.4883786265187019,0.3505344858141188,0.6003931008843398,0.6645290928619441,58287.91591145788,51603.43373350298,6613.876797363304,70.60538059159919,0,144508,70645,72966,1991,6,1,2,1
Gila County,Arizona,49.49853975119268,4,0.5552711479913565,0.34246575342465757,0.4323557316173581,0.2705662781723223,0.6549261972334472,0.585933011274719,46915.63932789298,42446.34875349139,4321.840662734047,147.4343330505382,0.015578617013532204,53795,32742,61986,1986,5,1,1,1
Graham County,Arizona,42.35009067379784,3,0.5175428838915068,0.3287671232876712,0.39617432623533133,0.27413786556926795,0.5410405601095691,0.5608240049729635,25233.620411423453,22355.816146517063,2373.6614043852655,504.14286052112203,0,39232,14122,67325,1987,7,1,3,2
Greenlee County,Arizona,36.411271450385826,2,0.4448645112061439,0.4246575342465754,0.4078164738300081,0.2737372567637978,0.6682083750437122,0.4472622824706581,6594.45429005519,5799.434034689509,774.5069901259033,20.513265239777283,0,9409,4433,71164,1980,4,2,2,0
La Paz County,Arizona,39.52498063678988,2,0.4815222946438861,0.3561643835616438,0.47467005323750344,0.19657078127937033,0.6917202164713472,0.49272194071131076,7561.088480490356,6555.139552557595,965.3693880599379,40.57953987282369,0,16664,13672,49478,1985,3,1,0,0
Maricopa County,Arizona,82.43953214347042,5,0.7855667729818469,0.2465753424657534,0.4590032268171629,0.405627559336092,0.5401588909370897,0.9390730568542502,2069255.1764819315,1867646.516606533,198563.22299505898,3044.5403157525093,0.8965645871228756,4559748,1884334,89300,1993,8,1,1,4
Mohave County,Arizona,56.70780903109889,5,0.635431114427349,0.2191780821917808,0.4447973897090657,0.2592053555308725,0.573255750888908,0.6981453458914906,178191.46864773735,159629.48190095837,18429.366749354238,132.61999742472332,0,220517,121881,57684,1995,7,2,3,1
Navajo County,Arizona,53.36311455132218,4,0.575980534979686,0.3013698630136986,0.45073675464319607,0.22958234820988527,0.6871527248220575,0.6416722212850666,55005.205205517195,49534.33651974623,5231.594071337212,239.27461443374722,0,108415,57230,54606,1989,4,1,1,0
Pima County,Arizona,69.7197451013826,5,0.7172329320028863,0.34246575342465757,0.42011082678474965,0.3103741152016936,0.5356043551384265,0.8230622988863923,773539.9170887219,699704.7974970114,69390.18625626974,4428.923657991482,16.00967744924528,1060490,479939,70315,1986,8,3,2,1
Pinal County,Arizona,57.24423656050994,5,0.6567937429712062,0.09589041095890416,0.43099075108898166,0.3503950448195368,0.3839487669624806,0.758168680977949,263851.80337552226,238943.32915085193,23593.917173336198,1314.4691945382392,0.08785679586359219,469006,184651,80266,2004,12,1,2,6
Santa Cruz County,Arizona,46.11540270041119,3,0.527058350406844,0.273972602739726,0.3468510025498249,0.2393108484078585,0.68947667868103,0.5783871489909315,28546.722684274468,25595.349092615743,2930.7488784261877,20.6247132325377,0,48926,19232,55217,1991,4,2,2,0
Yavapai County,Arizona,62.21519470820945,5,0.6089097812377947,0.2191780821917808,0.4491710973666423,0.3338846114355148,0.7277242499479668,0.7066751481616768,78943.03221342017,70905.92732640675,7911.614656035155,125.49023097826583,0,245480,126095,69613,1995,3,1,1,0
Yuma County,Arizona,59.45087767035916,5,0.5840211478259707,0.2191780821917808,0.48263040056447487,0.2608717854550459,0.7651944023263137,0.6949151974364692,46136.04672523012,41420.45510663643,4628.019113038029,87.57250555566458,0,211741,95200,62876,1995,2,1,0,0
Arkansas County,Arkansas,38.59936466858432,2,0.4946882973786963,0.452054794520548,0.3904016210016297,0.20930121018718556,0.617502634701764,0.4920075908706831,10763.649092631309,8735.5316240987,1653.1070840512384,375.00260225484425,0.007782226525794286,16515,8696,53164,1978,3,1,2,0
